Judul,Harga,Lokasi,Link
Apartemen Dijual di Grogol Utara,Rp 3M,"RW 07, Grogol Utara, Kebayoran Lama, Jakarta Selatan, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/properti/41032-73-6ca0521362a7-ff13-19e0cdf-9eb1-708b
Apartemen Dijual di Pejagalan,Rp 490Jt,"RW 16, Pejagalan, Penjaringan, Jakarta Utara, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/properti/41032-73-875510e50f75-c3b4-19e2119-a004-7b7f
Apartemen Dijual di Curug,Rp 600,"Lippo Village, Binong, Curug, Kabupaten Tangerang, Banten",https://www.lamudi.co.id/properti/41032-73-358e350fbde3-7ab5-19e8bb3-b3a6-760b
Apartemen Dijual di Cikarang Selatan,Rp 450Jt,"Meikarta, Cibatu, Kab Bekasi, Jawa Barat",https://www.lamudi.co.id/properti/41032-73-2caefcfdce71-4a03-19d7126-9bce-73ef
Apartemen Dijual di Mampang Prapatan,Rp 950Jt,"RW 03, Pela Mampang, Mampang Prapatan, Jakarta Selatan, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/properti/41032-73-bade1dd5caee-c48a-19e87a8-863e-77ab
Apartemen Dijual di Pondok Aren,"Rp 2,40M","Pondok Pucung, Pondok Aren, Tangerang Selatan, Banten",https://www.lamudi.co.id/properti/41032-73-33776e7f990e-1d33-19dfd5a-b2b7-77f1
Apartemen Dijual di Cilenggang,Rp 650Jt,"Cilenggang, Serpong, Tangerang Selatan, Banten",https://www.lamudi.co.id/properti/41032-73-3b4bf761a62-5adf-19ca985-ba6f-7775
Apartemen Dijual di Benoa,"Rp 1,03MProperti sitaan","Benoa, Kuta Selatan, Badung, Bali",https://www.lamudi.co.id/properti/41032-73-c3ead85f5f42-5448-19e6d3d-a3d1-7472
Apartemen Dijual di Gading Serpong,Rp 525Jt,"Gading Serpong, Pakulonan Barat, Kelapa Dua, Kabupaten Tangerang, Banten",https://www.lamudi.co.id/jual/banten/tangerang/buat-apa-deposito-dapet-aset-dapet-uang-sewa-175721940758/
Apartemen Dijual di Cakung,Rp 195Jt,"RW 06, Pulo Gebang, Cakung, Jakarta Timur, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/properti/41032-73-f439c35d2173-1362-19f021b-9cd0-7086
Apartemen Dijual di Halim Perdana Kusumah,Rp 200Jt,"RW 11, Halim Perdana Kusuma, Makasar, Jakarta Timur, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/jual/jakarta/jakarta-timur/dijual-apartemen-sentra-timur-residence-full-furni-175058689418/
Apartemen Dijual di Panunggangan,Rp 644Jt,"Panunggangan, Pinang, Tangerang, Banten",https://www.lamudi.co.id/properti/41032-73-227f2d30021a-a3f6-19dae9d-9c20-7551
Apartemen Dijual di Bumi Serpong Damai,"Rp 493,58Jt","BSD Grand CBD, BSD City, Sampora, Cisauk, Kabupaten Tangerang, Banten",https://www.lamudi.co.id/properti/41032-73-20bb8ec56404-3663-19ceb24-91e6-77e4
Apartemen Dijual di Cikarang Selatan,Rp 328Jt,"Meikarta, Cibatu, Kab Bekasi, Jawa Barat",https://www.lamudi.co.id/properti/41032-73-93a20a71f45e-a12b-199dd09-bd82-74e6
Apartemen Dijual di Kosambi,Rp 355Jt,"Pantai Indah Kapuk 2, Salembaran Jati, Kosambi, Kabupaten Tangerang, Banten",https://www.lamudi.co.id/properti/41032-73-7360c36e2168-fbcd-19d2116-b6d2-7651
Apartemen Dijual di Bumi Serpong Damai,"Rp 898,58Jt","BSD Grand CBD, BSD City, Sampora, Cisauk, Kabupaten Tangerang, Banten",https://www.lamudi.co.id/properti/41032-73-7a7359fa8c2c-d765-19cc77a-a98a-75bc
Apartemen Dijual di Bumi Serpong Damai,"Rp 1,40M","BSD City, Pagedangan, Pagedangan, Kabupaten Tangerang, Banten",https://www.lamudi.co.id/properti/41032-73-a59492d781e8-8152-19c8a0e-8444-71d7
Apartemen Dijual di Ubud,"Rp 1,13M","Banjar Kutuh Kaja, Ubud, Kecamatan Ubud, Gianyar, Bali",https://www.lamudi.co.id/properti/41032-73-6593930b5d86-6c48-19d1a24-805f-75f4
Apartemen Dijual di Badung,"Rp 1,86M","Kutuh, Kuta Selatan, Badung, Bali",https://www.lamudi.co.id/properti/41032-73-2cee7e263999-343b-19d1eca-a899-70e4
Apartemen Dijual di Luwus,"Rp 4,80M","Tua, Luwus, Tabanan, Bali",https://www.lamudi.co.id/properti/41032-73-80389fd4145a-883c-19d0b0c-aec3-7387
Apartemen Dijual di Mampang Prapatan,"Rp 6,50M","RW 06, Tegal Parang, Mampang Prapatan, Jakarta Selatan, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/properti/41032-73-df3befea883d-93af-79404556-ab32-4583
Apartemen Dijual di Kedewatan,"Rp 1,66M","Kedewatan, Kecamatan Ubud, Gianyar, Bali",https://www.lamudi.co.id/properti/41032-73-5528aac1a000-4a0d-19d0b30-a7c2-754b
Apartemen Dijual di Pademangan,"Rp 2,20MProperti sitaan","PPK Kemayoran, Pademangan Timur, Pademangan, Jakarta Utara, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/properti/41032-73-5e8deed77338-f4a9-19a8fe6-a5bc-74b3
Apartemen Dijual di Penjaringan,Rp 420Jt,"RW 10, Pluit, Penjaringan, Jakarta Utara, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/properti/41032-73-f11027eae2c5-ac36-19e39ee-be5c-7265
Apartemen Dijual di Bumi Serpong Damai,Rp 860Jt,"BSD Grand CBD, BSD City, Sampora, Cisauk, Kabupaten Tangerang, Banten",https://www.lamudi.co.id/properti/41032-73-c3af08d84dac-b863-19c9e18-a8fc-7c97
Apartemen Dijual di Penjaringan,Rp 935Jt,"RW 06, Pluit, Penjaringan, Jakarta Utara, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/jual/jakarta/jakarta-utara/dijual-apartement-semi-furnished-condominium-green-173217452650/
Apartemen Dijual di Penjaringan,Rp 390Jt,"RW 06, Pluit, Penjaringan, Jakarta Utara, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/jual/jakarta/jakarta-utara/dijual-2br-1br-furnished-apartment-green-bay-pluit-173217471445/
Apartemen Dijual di Penjaringan,"Rp 1,30M","RW 10, Pluit, Penjaringan, Jakarta Utara, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/properti/41032-73-d239dfea3a27-22f5-19c22fc-b0c4-7443
Apartemen Dijual di Karet Tengsin,"Rp 8,50M","RW 09, Karet Tengsin, Tanah Abang, Jakarta Pusat, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/properti/41032-73-83434fde7299-44d9-19ac9f1-ab23-70d7
Apartemen Dijual di Karet Tengsin,Rp 20M,"RW 05, Karet Tengsin, Tanah Abang, Jakarta Pusat, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/properti/41032-73-935000f1c832-eb75-19d3d16-bd60-75e3
Apartemen Dijual di Maricaya Baru,"Rp 3,80M","Maricaya Baru, Makassar, Makassar, Sulawesi Selatan",https://www.lamudi.co.id/properti/41032-73-2df4c3dc8735-1370-19dc404-bfc6-77cc
Apartemen Dijual di Cibubur,Rp 870Jt,"RW 04, Cibubur, Ciracas, Jakarta Timur, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/jual/jawa-barat/bekasi/aprtement-murah-di-lokasi-strategis-175511849064/
Apartemen Dijual di Bekasi,Rp 400Jt,"Meikarta, Jayamukti, Kab Bekasi, Jawa Barat",https://www.lamudi.co.id/properti/41032-73-f155e7cee260-d058-199f57e-b799-75e4
Apartemen Dijual di Bumi Serpong Damai,Rp 930Jt,"BSD City, Pagedangan, Pagedangan, Kabupaten Tangerang, Banten",https://www.lamudi.co.id/properti/41032-73-742c7a4227b0-84ba-19e8815-a8a9-73d8
Apartemen Dijual di Bumi Serpong Damai,"Rp 1,45M","BSD City, Pagedangan, Pagedangan, Kabupaten Tangerang, Banten",https://www.lamudi.co.id/properti/41032-73-c237a8531ed3-fc47-19c8a16-ba06-7eaf
Apartemen Dijual di Bumi Serpong Damai,"Rp 1,40M","BSD City, Pagedangan, Pagedangan, Kabupaten Tangerang, Banten",https://www.lamudi.co.id/properti/41032-73-b97b8d64b621-6ea9-19c8a02-b3e3-79a5
Apartemen Dijual di Bumi Serpong Damai,Rp 930Jt,"BSD City, Sampora, Cisauk, Kabupaten Tangerang, Banten",https://www.lamudi.co.id/properti/41032-73-d3a1590f1325-7a5a-19de315-a5fb-7d2b
Apartemen Dijual di Bumi Serpong Damai,"Rp 1,65M","BSD Grand CBD, BSD City, Sampora, Cisauk, Kabupaten Tangerang, Banten",https://www.lamudi.co.id/properti/41032-73-1cb9cf45cae0-bff5-19c98ba-961d-7779
Apartemen Dijual di Bumi Serpong Damai,Rp 860Jt,"BSD Grand CBD, BSD City, Sampora, Cisauk, Kabupaten Tangerang, Banten",https://www.lamudi.co.id/properti/41032-73-1c976f5fefcd-77d9-19c4679-a06e-716c
Apartemen Dijual di Bumi Serpong Damai,Rp 780Jt,"BSD Grand CBD, BSD City, Sampora, Cisauk, Kabupaten Tangerang, Banten",https://www.lamudi.co.id/properti/41032-73-c949bae8462c-55b9-19ca33a-a48b-7ee8
Apartemen Dijual di Bintaro,"Rp 1,40M","RW 03, Bintaro, Pesanggrahan, Jakarta Selatan, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/properti/41032-73-934c135f268-96c1-19e82e4-a40d-7184
Apartemen Dijual di Bumi Serpong Damai,Rp 930Jt,"BSD Grand CBD, BSD City, Sampora, Cisauk, Kabupaten Tangerang, Banten",https://www.lamudi.co.id/properti/41032-73-cf8c8f922d7c-7a8c-19d6193-8c92-760c
Apartemen Dijual di Cisauk,Rp 860Jt,"Griya Mulia Cisauk C, Cisauk, Cisauk, Kabupaten Tangerang, Banten",https://www.lamudi.co.id/properti/41032-73-bdf666a7f5a0-8e12-19c9490-b075-7b26
Apartemen Dijual di Bumi Serpong Damai,"Rp 1,40M","BSD Grand CBD, BSD City, Sampora, Cisauk, Kabupaten Tangerang, Banten",https://www.lamudi.co.id/properti/41032-73-3cc3501f0361-594a-19cb2ac-8649-7c7d
Apartemen Dijual di Bumi Serpong Damai,Rp 470Jt,"BSD City, Sampora, Cisauk, Kabupaten Tangerang, Banten",https://www.lamudi.co.id/properti/41032-73-bee950bcb24f-d498-19ca8e8-a3af-7b55
Apartemen Dijual di Bumi Serpong Damai,"Rp 1,45M","BSD Grand CBD, BSD City, Sampora, Cisauk, Kabupaten Tangerang, Banten",https://www.lamudi.co.id/properti/41032-73-9089a0260868-2bbc-19c9e12-8846-7134
Apartemen Dijual di Babakan Madang,Rp 300Jt,"Sentul City, Cipambuan, Babakan Madang, Kab Bogor, Jawa Barat",https://www.lamudi.co.id/properti/41032-73-198f415105ec-fe54-19e3081-8a53-7141
Apartemen Dijual di Ancol,Rp 950Jt,"RW 10, Ancol, Pademangan, Jakarta Utara, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/jual/jakarta/jakarta-utara/apartemen-2-kamar-the-mansion-bougenville-175807857478/
Apartemen Dijual di Cipete Utara,"Rp 6,50M","RW 08, Cipete Utara, Kebayoran Baru, Jakarta Selatan, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/properti/41032-73-a61e03fbbf10-bc0f-19c3370-b56e-7122
Apartemen Dijual di Duren Tiga,Rp 900Jt,"RW 02, Duren Tiga, Pancoran, Jakarta Selatan, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/jual/jakarta/jakarta-selatan/apartemen-studio-full-furnished-pemandangan-gunung-17578608209/
Apartemen Dijual di Bumi Serpong Damai,Rp 850Jt,"BSD City, Pagedangan, Pagedangan, Kabupaten Tangerang, Banten",https://www.lamudi.co.id/properti/41032-73-7794c51ea29c-dc0c-19e4f5b-9b4a-731e
Apartemen Dijual di Bumi Serpong Damai,Rp 860Jt,"BSD City, Pagedangan, Pagedangan, Kabupaten Tangerang, Banten",https://www.lamudi.co.id/properti/41032-73-fe4b97a4aad1-7d26-19e4f24-9791-7235
Apartemen Dijual di Bumi Serpong Damai,"Rp 1,20M","BSD Sunburst CBD, Babakan, BSD City, Serpong, Tangerang Selatan, Banten",https://www.lamudi.co.id/properti/41032-73-224677d381a3-4f40-19e5d95-bf18-7302
Apartemen Dijual di Babatan,Rp 757Jt,"RW 03, Babatan, Wiyung, Surabaya, Jawa Timur",https://www.lamudi.co.id/properti/41032-73-e783ac4053e0-2b44-43edbeb1-8e3a-48ce
Apartemen Dijual di Kelapa Dua,Rp 490Jt,"Rumpak Sinang, Pakulonan Barat, Kelapa Dua, Kabupaten Tangerang, Banten",https://www.lamudi.co.id/properti/41032-73-35501c1a977f-9378-19b02dd-b62a-7d42
Apartemen Dijual di Bumi Serpong Damai,"Rp 2,30M","BSD Grand CBD, BSD City, Sampora, Cisauk, Kabupaten Tangerang, Banten",https://www.lamudi.co.id/jual/banten/tangerang-selatan/apartemen-3br-sangat-luas-nyaman-dan-fully-furnish-174824045527/
Apartemen Dijual di Bumi Serpong Damai,Rp 580Jt,"BSD City, Sampora, Cisauk, Kabupaten Tangerang, Banten",https://www.lamudi.co.id/jual/banten/tangerang-selatan/apartemen-akasa-1-bedroom-furnished-brand-new-by-s-174829691727/
Apartemen Dijual di Beji,Rp 275Jt,"Pondok Cina, Beji, Depok, Jawa Barat",https://www.lamudi.co.id/properti/41032-73-b1900a997f20-e11c-19dd883-8bcf-7283
Apartemen Dijual di Kelapa Dua,Rp 450Jt,"Lippo Village, Kelapa Dua, Kelapa Dua, Kabupaten Tangerang, Banten",https://www.lamudi.co.id/properti/41032-73-1f37f3994021-3e86-19b92aa-90b0-7337
Apartemen Dijual di Bumi Serpong Damai,Rp 780Jt,"BSD Grand CBD, BSD City, Sampora, Cisauk, Kabupaten Tangerang, Banten",https://www.lamudi.co.id/properti/41032-73-74c5e54145e9-957a-19dd857-8186-731c
Apartemen Dijual di Bumi Serpong Damai,Rp 500Jt,"BSD City, Sampora, Cisauk, Kabupaten Tangerang, Banten",https://www.lamudi.co.id/properti/41032-73-5aef2d27a2cb-e7a8-19de6c3-a5d7-71a2
Apartemen Dijual di Bumi Serpong Damai,Rp 500Jt,"BSD City, Sampora, Cisauk, Kabupaten Tangerang, Banten",https://www.lamudi.co.id/properti/41032-73-bcdcae6790d4-4028-19de6db-98f0-7730
Apartemen Dijual di Menur Pumpungan,Rp 350Jt,"RW 07, Menur Pumpungan, Sukolilo, Surabaya, Jawa Timur",https://www.lamudi.co.id/properti/41032-73-1142b4803d39-4d96-19e48fe-a2aa-782d
Apartemen Dijual di Bekasi,Rp 942Jt,"Taman Rahayu, Kab Bekasi, Jawa Barat",https://www.lamudi.co.id/properti/41032-73-eeeb82d90a82-6577-19cbc85-85c3-70c6
Apartemen Dijual di Ciputat,Rp 255Jt,"Ciputat, Ciputat, Tangerang Selatan, Banten",https://www.lamudi.co.id/jual/banten/tangerang-selatan/dijual-cepat-275-juta-apart-bailey-s-city-furnishe-175591967045/
Apartemen Dijual di Mangkura,"Rp 4,80M","Mangkura, Mangkura, Ujung Pandang, Makassar, Sulawesi Selatan",https://www.lamudi.co.id/jual/sulawesi-selatan/makassar/dijual-murah-apartemen-31-sudirman-3-1-signature-f-175576497752/
Apartemen Dijual di Kelapa Gading,"Rp 1,50M","RW 21, Kelapa Gading Barat, Kelapa Gading, Jakarta Utara, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/properti/41032-73-f4e1eb638333-8bd7-19b11d8-a2de-7541
Apartemen Dijual di Grogol Petamburan,"Rp 2,60M","RW 05, Tanjung Duren Selatan, Grogol Petamburan, Jakarta Barat, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/properti/41032-73-261bccbbfbb0-f937-19d4217-a682-7234
Apartemen Dijual di Kebayoran Baru,"Rp 3,30M","RW 01, Senayan, Kebayoran Baru, Jakarta Selatan, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/jual/jakarta/jakarta-selatan/di-jual-aparment-senayan-residance-174885566916/
Apartemen Dijual di Cidadap,Rp 599Jt,"Ciumbuleuit, Cidadap, Kota Bandung, Jawa Barat",https://www.lamudi.co.id/properti/41032-73-f88e44cd8053-3a0-19ea5d3-9024-7752
Apartemen Dijual di Gondangdia,"Rp 6,90M","RW 05, Gondangdia, Menteng, Jakarta Pusat, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/jual/jakarta/jakarta-pusat/dijual-apartemen-57-promenade-2-br-lantai-atas-tha-170557336923/
Apartemen Dijual di Cidadap,Rp 600Jt,"Hegarmanah, Cidadap, Kota Bandung, Jawa Barat",https://www.lamudi.co.id/properti/41032-73-44d0b392b899-bf2c-19cc104-a8b0-7698
Apartemen Dijual di Purwosari,"Rp 1,50M","Purwosari, Surakarta, Jawa Tengah",https://www.lamudi.co.id/properti/41032-73-49f45e86cb21-e1a7-19ad2b1-8451-716c
Apartemen Dijual di Cidadap,Rp 600Jt,"Hegarmanah, Cidadap, Kota Bandung, Jawa Barat",https://www.lamudi.co.id/jual/jawa-barat/bandung/jual-cepat-apartemen-parahyangan-residence-2br-hoo-174170571546/
Apartemen Dijual di Depok,Rp 425Jt,"Kledokan, Catur Tunggal, Depok, Sleman, Daerah Istimewa Yogyakarta",https://www.lamudi.co.id/properti/41032-73-ced29a7e07f6-452d-19aa9b1-a284-7412
Apartemen Dijual di Bumi Serpong Damai,Rp 800Jt,"BSD Grand CBD, BSD City, Pagedangan, Pagedangan, Kabupaten Tangerang, Banten",https://www.lamudi.co.id/properti/41032-73-d3258b9440e4-b09a-19dbec4-a37d-7395
Apartemen Dijual di Bumi Serpong Damai,Rp 400Jt,"BSD Grand CBD, BSD City, Sampora, Cisauk, Kabupaten Tangerang, Banten",https://www.lamudi.co.id/properti/41032-73-412b7501fad4-1bd2-19dbe4b-8d47-7676
Apartemen Dijual di Kelapa Gading,"Rp 1,90M","RW 19, Kelapa Gading Barat, Kelapa Gading, Jakarta Utara, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/properti/41032-73-dac101c43e19-3f78-19c8694-a3ed-7f34
Apartemen Dijual di Cepaka,"Rp 3,78M","Cepaka, Tabanan, Bali",https://www.lamudi.co.id/properti/41032-73-2857389e45ca-8095-191c02a-82ed-78cb
Apartemen Dijual di Cepaka,"Rp 3,24M","Cepaka, Tabanan, Bali",https://www.lamudi.co.id/properti/41032-73-27105cdbb5fb-924-191c025-82ed-78cb
Apartemen Dijual di Cepaka,"Rp 3,01M","Cepaka, Tabanan, Bali",https://www.lamudi.co.id/properti/41032-73-1d9cf6c71328-ab74-191c01c-82ed-78cb
Apartemen Dijual di Cepaka,"Rp 2,93M","Cepaka, Tabanan, Bali",https://www.lamudi.co.id/properti/41032-73-12ec4679f502-fc37-191c00d-82ed-78cb
Apartemen Dijual di Cepaka,"Rp 2,24M","Cepaka, Tabanan, Bali",https://www.lamudi.co.id/properti/41032-73-82f96da072ba-c477-191bc99-8b73-7159
Apartemen Dijual di Kelapa Dua,Rp 980Jt,"Lippo Village, Kelapa Dua, Kelapa Dua, Kabupaten Tangerang, Banten",https://www.lamudi.co.id/properti/41032-73-8db23c293b3f-13e8-19c1747-9ccd-7189
Apartemen Dijual di Kelapa Dua,Rp 425Jt,"Lippo Village, Kelapa Dua, Kelapa Dua, Kabupaten Tangerang, Banten",https://www.lamudi.co.id/properti/41032-73-d665f2cf8821-c388-19d8d29-b57b-771c
Apartemen Dijual di Karet Tengsin,Rp 23M,"RW 05, Karet Tengsin, Tanah Abang, Jakarta Pusat, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/jual/jakarta/jakarta-pusat/disewakan-2-bedroom-district-8-bagus-175416495388/
Apartemen Dijual di Cibodas,Rp 600Jt,"Cibodas Baru, Cibodas, Tangerang, Banten",https://www.lamudi.co.id/properti/41032-73-50e29eed4645-7278-19d8fed-89ff-73a3
Apartemen Dijual di Cengkareng,"Rp 3,14M","RW 04, Rawa Buaya, Cengkareng, Jakarta Barat, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/properti/41032-73-54f3aae302c9-8bfb-19cdbf6-8f33-7116
Apartemen Dijual di Dramaga,Rp 275Jt,"Cikarawang, Dramaga, Kab Bogor, Jawa Barat",https://www.lamudi.co.id/properti/41032-73-81c1fdd98e20-1739-19ca872-87db-7728
Apartemen Dijual di Batam Kota,"Rp 1,25M","Teluk Tering, Teluk Tering, Batam Kota, Batam",https://www.lamudi.co.id/properti/41032-73-e2498e2f553b-3e54-19e1b06-bc90-7ec2
Apartemen Dijual di Kelapa Gading,"Rp 4,20M","RW 01, Kelapa Gading Timur, Kelapa Gading, Jakarta Utara, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/properti/41032-73-233ebeefc9fa-3bff-19d9a15-acb1-7c7f
Apartemen Dijual di Bekasi,Rp 435Jt,"Kota Jababeka, Sertajaya, Kab Bekasi, Jawa Barat",https://www.lamudi.co.id/properti/41032-73-5065e8550083-b952-19d81e4-8149-74e2
Apartemen Dijual di Cidadap,Rp 485Jt,"Hegarmanah, Cidadap, Kota Bandung, Jawa Barat",https://www.lamudi.co.id/properti/41032-73-12e9528c88a4-27f9-19cfa1c-b715-727d
Kondominium Dijual di Sukaasih,"Rp 2,35M","Sukaasih, Tangerang, Tangerang, Banten",https://www.lamudi.co.id/jual/banten/tangerang/elevee-residences-kondominium-2br-di-alam-sutera-173468714278/
Apartemen Dijual di Serpong,Rp 650Jt,"Pondok So, Rawa Mekar Jaya, Serpong, Tangerang Selatan, Banten",https://www.lamudi.co.id/jual/banten/tangerang-selatan/apartemen-intermark-tuscany-2br-fasilitas-lengkap-175557261586/
Apartemen Dijual di Serpong,Rp 650Jt,"Pondok So, Rawa Mekar Jaya, Serpong, Tangerang Selatan, Banten",https://www.lamudi.co.id/jual/banten/tangerang-selatan/apartemen-intermark-tuscany-2br-hunian-paling-stra-175557251464/
Apartemen Dijual di Neglasari,Rp 105Jt,"Neglasari, Neglasari, Tangerang, Banten",https://www.lamudi.co.id/jual/banten/tangerang/apartemen-aeropolis-studio-hunian-terbaik-tangeran-175523585836/
Apartemen Dijual di Neglasari,Rp 165Jt,"Neglasari, Neglasari, Tangerang, Banten",https://www.lamudi.co.id/jual/banten/tangerang/apartemen-aeropolis-2br-siap-huni-tangerang-175523536779/
Apartemen Dijual di Kamal Muara,Rp 388Jt,"RW 03, Kamal Muara, Penjaringan, Jakarta Utara, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/jual/jakarta/jakarta-utara/apartemen-tokyo-riverside-di-pik-2-173035866392/
Apartemen Dijual di Neglasari,Rp 125Jt,"Neglasari, Neglasari, Tangerang, Banten",https://www.lamudi.co.id/jual/banten/tangerang/apartemen-aeropolis-studio-hunian-terbaik-fasilita-175211817799/
Apartemen Dijual di Dramaga,Rp 275Jt,"Dramaga, Dramaga, Kab Bogor, Jawa Barat",https://www.lamudi.co.id/properti/41032-73-c40ddeabc07c-9cb8-19c9320-9035-7415
Apartemen Dijual di Dramaga,Rp 220Jt,"Cikarawang, Dramaga, Kab Bogor, Jawa Barat",https://www.lamudi.co.id/properti/41032-73-533c74f59cbd-dac-19c930c-8b73-75e1
Apartemen Dijual di Dramaga,Rp 275Jt,"Cikarawang, Dramaga, Kab Bogor, Jawa Barat",https://www.lamudi.co.id/properti/41032-73-470b7ed155d6-58e-19c934f-83f7-70e2
Apartemen Dijual di Cempaka Putih,Rp 430Jt,"RW 02, Cempaka Putih Timur, Cempaka Putih, Jakarta Pusat, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/properti/41032-73-7f34e1cb1096-1c57-19efcef-9009-77ae
Apartemen Dijual di Bojong Nangka,Rp 520Jt,"Podomoro Golf View, Bojong Nangka, Gunung Putri, Kab Bogor, Jawa Barat",https://www.lamudi.co.id/properti/41032-73-40d0c6673a-5ab4-19d0a40-9d69-7391
Apartemen Dijual di Mulyorejo,Rp 500Jt,"Wisma Permai, RW 05, Mulyorejo, Mulyorejo, Surabaya, Jawa Timur",https://www.lamudi.co.id/properti/41032-73-37e7a2906260-4b8f-19b9c70-b240-72f4
Apartemen Dijual di Menteng Dalam,"Rp 2,30M","RW 12, Menteng Dalam, Tebet, Jakarta Selatan, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/properti/41032-73-5eec78ff218c-85a8-19ac44b-b09a-7634
Apartemen Dijual di Petemon,Rp 270Jt,"RW 04, Petemon, Sawahan, Surabaya, Jawa Timur",https://www.lamudi.co.id/properti/41032-73-47ec22e20055-4004-19dec99-9fcd-71b3
Apartemen Dijual di Kebayoran Baru,Rp 16M,"RW 01, Senayan, Kebayoran Baru, Jakarta Selatan, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/jual/jakarta/jakarta-selatan/5-bedroom-rumah-cocok-untuk-cafe-resto-commercial-174549055243/
Apartemen Dijual di Kembangan,Rp 450Jt,"RW 02, Meruya Utara, Kembangan, Jakarta Barat, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/properti/41032-73-8fe8d63331a1-b910-19ed492-b956-7465
